Date	News	result	scores
Monday, 29 May 2023 22:12:11	Gold Price Forecast: XAU/USD looks vulnerable above $1,940 as US households’ spending remains resilient	negative	0.8207137584686279
Monday, 29 May 2023 15:29:05	Gold Price Forecast: XAU/USD price edges up despite strong US Dollar amidst thin liquidity trading	negative	0.6259629130363464
Monday, 29 May 2023 14:59:11	Gold Price Forecast: XAU/USD may drop to support near low $1,900s – TDS	negative	0.49967411160469055
Monday, 29 May 2023 11:00:29	The sanctions imposed on Russia have boosted the appeal of Gold in recent years – MUFG	neutral	0.46342816948890686
Monday, 29 May 2023 07:37:16	Gold Futures: A sustained bounce not probable	neutral	0.48035553097724915
Monday, 29 May 2023 07:00:21	Gold Price Forecast: XAU/USD bulls prod $1,951 hurdle on mixed start of US NFP week – Confluence Detector	neutral	0.8741346001625061
Monday, 29 May 2023 04:47:02	Gold Price Forecast: XAU/USD struggles to surpass $1,950, upside seems favored as US debt dynamics modify	neutral	0.48746824264526367
Monday, 29 May 2023 01:18:02	Gold Price Forecast: XAU/USD bears approach $1,930 support on US debt ceiling extension, NFP eyed	neutral	0.6944252848625183
Sunday, 28 May 2023 22:44:33	Gold Price Forecast: XAU/USD turns volatile after facing barricades around $1,950 amid hawkish Fed bets	negative	0.7662575840950012
Tuesday, 30 May 2023 22:04:49	Gold Price Forecast: XAU/USD juggles around $1,960 after a rally inspired by US Dollar’s correction	neutral	0.7648513317108154
Tuesday, 30 May 2023 14:07:48	Gold Price Forecast: XAU/USD extends rebounds from two-month low, hits fresh highs above $1,960	neutral	0.7034197449684143
Tuesday, 30 May 2023 07:28:08	Gold Price Forecast: XAU/USD struggles near two-month low, bears flirt with 100-day SMA	negative	0.6515039801597595
Tuesday, 30 May 2023 04:10:21	Gold Price Forecast: XAU/USD retreats from $1,950 as USD Index rebounds firmly, US Employment in focus	neutral	0.5639779567718506
Tuesday, 30 May 2023 00:39:34	Gold Price Forecast: XAU/USD bears stay hopeful amid hardships for US debt ceiling deal	neutral	0.5009868144989014
Wednesday, 31 May 2023 23:47:26	Gold Price Forecast: XAU/USD rebound eyes $1,990 and United States Employment clues	neutral	0.8786777257919312
Wednesday, 31 May 2023 21:37:50	Gold Price Forecast: XAU/USD reclaims $1960 on US debt ceiling hopes, falling US bond yields	negative	0.648366391658783
Wednesday, 31 May 2023 15:06:59	Gold Price Forecast: XAU/USD jumps to weekly highs near $1,975	neutral	0.6599670052528381
Wednesday, 31 May 2023 14:58:07	Gold Price Forecast: XAU/USD to peak at $2,050 by Q1 2024 and then ease back to $2,000 – Crédit Agricole	neutral	0.858285665512085
Wednesday, 31 May 2023 14:05:37	Gold Price Forecast: XAU/USD has been showing relative strength of late – Commerzbank	neutral	0.6827516555786133
Wednesday, 31 May 2023 10:40:10	Gold Price Forecast: XAU/USD consolidates around $1,960 area, just below one-week high	neutral	0.7070634961128235
Wednesday, 31 May 2023 06:30:13	Gold Price Forecast: XAU/USD rebound eyes $1,990 and US factors – Confluence Detector	neutral	0.8833261132240295
Wednesday, 31 May 2023 06:10:07	Gold Futures: Room for some near-term rebound	neutral	0.8854213953018188
Wednesday, 31 May 2023 04:19:44	Gold Price Forecast: XAU/USD defends $1950 as US yields drop ahead of US job data and Fed’s Beige Book	negative	0.5702645182609558
Wednesday, 31 May 2023 01:00:46	Gold Price Forecast: Softer US Dollar underpins XAU/USD rebound, focus on US politics, employment data	neutral	0.7035669684410095
Thursday, 01 June 2023 22:08:05	Gold Price Forecast: XAU/USD run-up approaches $2,000 as United States Nonfarm Payrolls loom	neutral	0.7955422401428223
Thursday, 01 June 2023 19:35:22	Gold Price Forecast: XAU/USD bulls eye key territories above ahead of NFP	neutral	0.9151501655578613
Thursday, 01 June 2023 15:00:23	Gold Price Forecast: Near-term consolidation in XAU/USD should reverse on solid demand – UBS	neutral	0.8025400042533875
Thursday, 01 June 2023 14:19:51	Gold Price Forecast: XAU/USD hits fresh weekly highs near $1,980 after US data	neutral	0.5249456167221069
Thursday, 01 June 2023 06:21:22	Gold Price Forecast: $1,970, looming US employment clues prod XAU/USD bulls – Confluence Detector	neutral	0.8040309548377991
Thursday, 01 June 2023 05:49:07	Gold Futures: Further rebound unlikely	negative	0.5507664680480957
Thursday, 01 June 2023 04:07:15	Gold Price Forecast: XAU/USD plays in a $5 range as investors await US NFP for Fed’s interest rate guidance	neutral	0.8734604120254517
Friday, 02 June 2023 19:47:07	Gold Price Forecast: XAU/USD falls on upbeat US NFP data, yields spike	neutral	0.5433524250984192
Friday, 02 June 2023 14:59:18	Gold Price Forecast: XAU/USD to be kept in check by the possibility of another Fed rate hike – Commerzbank	neutral	0.8576919436454773
Friday, 02 June 2023 12:41:00	Gold Price Forecast: XAU/USD weakens after NFP	negative	0.7331294417381287
Friday, 02 June 2023 12:27:50	Gold Price Forecast: XAU/USD sees a tiring short-term momentum picture – Credit Suisse	negative	0.7475881576538086
Friday, 02 June 2023 10:47:16	Gold Price Forecast: XAU/USD holds steady near $1,980, over one-week top ahead of US NFP	neutral	0.6457149386405945
Friday, 02 June 2023 06:18:57	Gold: A deeper pullback looks likely below $1920 – UOB	neutral	0.6090672612190247
Friday, 02 June 2023 06:15:52	Gold Price Forecast: XAU/USD aims to sustain above $1,980 amid fragile USD Index ahead of US NFP	neutral	0.5117236375808716
Friday, 02 June 2023 06:13:16	Gold Futures: Further gains not favoured	neutral	0.5085850954055786
Friday, 02 June 2023 02:54:02	Gold Price Forecast: XAU/USD bulls can stay hopeful above $1,968, US NFP, Fed clues eyed – Confluence Detector	neutral	0.5260380506515503
Friday, 02 June 2023 00:28:27	Gold Price Forecast: XAU/USD eyes a sustained break above $1,980 amid chaos over Fed’s rate guidance	negative	0.5787541270256042
Sunday, 04 June 2023 22:17:45	Gold Price Forecast: XAU/USD downside appears difficult even as US NFP favors Fed hawks	negative	0.7591170072555542
Monday, 05 June 2023 22:18:08	Gold Price Forecast: XAU/USD grinds higher past $1,950 amid downbeat United States data	negative	0.7810463309288025
Monday, 05 June 2023 19:04:52	Gold Price Forecast: XAU/USD  rebounds at the 100-day SMA following US economic data	neutral	0.7969843149185181
Monday, 05 June 2023 13:32:42	Gold Price Forecast: XAU/USD attempts recovery from $1,940 ahead of US Services PMI	neutral	0.5153394341468811
Monday, 05 June 2023 10:26:10	Gold Price Forecast: XAU/USD trades just above $1,940, flirts with 100-day SMA support	neutral	0.807604193687439
Monday, 05 June 2023 06:22:55	Gold Price Forecast: XAU/USD finds short-term cushion above $1,940, more downside looks solid	neutral	0.5812094211578369
Monday, 05 June 2023 05:39:42	Gold Futures: Further retracements appear contained	neutral	0.9703815579414368
Monday, 05 June 2023 01:54:06	Gold Price Forecast: XAU/USD bears approach $1,930 support on upbeat US Dollar, firmer yields	neutral	0.607028603553772
Tuesday, 06 June 2023 22:16:00	Gold Price Forecast: XAU/USD edges higher as US Dollar, yields dribble on mixed Fed concerns	neutral	0.4780842065811157
Tuesday, 06 June 2023 15:44:35	Gold Price Forecast: XAU/USD steadily around $1960s amid higher US bond yields	neutral	0.5884122848510742
Tuesday, 06 June 2023 14:59:14	Gold Price Forecast: Prospect of rising rates to weigh on XAU/USD until FOMC meeting – Commerzbank	neutral	0.7929672002792358
Tuesday, 06 June 2023 10:28:22	Gold Price Forecast: XAU/USD struggles for a firm direction, stuck in a range around $1,960	negative	0.9281741976737976
Tuesday, 06 June 2023 08:33:40	Gold Price Forecast: Growing expectations for deepening cuts to support higher XAU/USD – TDS	neutral	0.638627827167511
Tuesday, 06 June 2023 06:44:13	Gold Price Forecast: XAU/USD oscillates around $1,960 amid mixed responses to Fed’s June policy	negative	0.5571823716163635
Tuesday, 06 June 2023 05:09:42	Gold Futures: Further gains appear unlikely	negative	0.6867525577545166
Tuesday, 06 June 2023 04:08:14	Gold Price Forecast: XAU/USD gyrates within $1,955-73 trading zone – Confluence Detector	neutral	0.9194013476371765
Tuesday, 06 June 2023 01:28:24	Gold Price Forecast: XAU/USD retreats from $1,960 amid sluggish markets	negative	0.80295330286026
Wednesday, 07 June 2023 22:16:39	Gold Price Forecast: XAU/USD bears ignore sluggish USD on mixed growth concerns, hawkish central banks	negative	0.6603140234947205
Wednesday, 07 June 2023 16:16:47	Gold Price Forecast: XAU/USD slips due to rising US bond yields, global economic concerns	negative	0.8809220194816589
Wednesday, 07 June 2023 15:00:50	Gold Price Forecast: XAU/USD to hit $2,100 by year-end – ANZ	neutral	0.7590110301971436
Wednesday, 07 June 2023 11:55:37	Gold Price Forecast: XAU/USD recovers from below $1,960, still remains choppy despite sell-off in USD Index	negative	0.7222810983657837
Wednesday, 07 June 2023 06:54:58	Gold Price Forecast: XAU/USD drops sharply below $1,960 as USD Index extends recovery	negative	0.5516429543495178
Wednesday, 07 June 2023 05:19:44	Gold Futures: Near-term consolidation on the cards	neutral	0.9408380389213562
Wednesday, 07 June 2023 04:25:31	Gold Price Forecast: XAU/USD faces a wall of resistance near $1,970 – Confluence Detector	neutral	0.6160460114479065
Wednesday, 07 June 2023 01:15:01	Gold Price Forecast: XAU/USD eyes further upside past $1,950 with inverse H&S in offing, softer US Dollar	neutral	0.5909108519554138
Thursday, 08 June 2023 23:22:20	Gold Price Forecast: XAU/USD looks set to cross $1,985 hurdle as softer US data weighs on US Dollar, yields	neutral	0.6854035258293152
Thursday, 08 June 2023 20:50:16	Gold Price Forecast: XAU/USD bulls clean up within daily range	neutral	0.9117317795753479
Thursday, 08 June 2023 14:59:11	Gold Price Forecast: Further rangebound action in XAU/USD is the most likely outcome for now – Credit Suisse	neutral	0.6683847904205322
Thursday, 08 June 2023 13:38:24	Gold Price Forecast: XAU/USD shoots to near $1960 as higher US jobless claims eases labor market conditions	negative	0.49567168951034546
Thursday, 08 June 2023 09:49:25	Gold Price Forecast: XAU/USD rebounds to near $1,950 as investors divide about Fed’s policy	neutral	0.5528955459594727
Thursday, 08 June 2023 06:44:32	Gold Price Forecast: XAU/USD drops sharply post failing to reclaim $1,950 as hawkish Fed bets rebound	negative	0.618974506855011
Thursday, 08 June 2023 05:23:51	Gold Futures: Door open to further decline	negative	0.5518750548362732
Thursday, 08 June 2023 03:48:15	Gold Price Forecast: XAU/USD to maintain $1,930 support on mixed growth, Fed concerns – Confluence Detector	neutral	0.5293090343475342
Thursday, 08 June 2023 01:23:30	Gold Price Forecast: XAU/USD bounces off 100-day SMA, upside potential seems limited	negative	0.7219864130020142
Friday, 09 June 2023 19:14:59	Gold Price Forecast: XAU/USD hovers around $1,960 with no clear direction	neutral	0.745514988899231
Friday, 09 June 2023 15:27:34	Gold Price Forecast: XAU/USD unlikely to budge during the upcoming week of central bank meetings – Commerzbank	negative	0.5184239149093628
Friday, 09 June 2023 14:06:00	Gold Price Forecast: A further slide in XAU/USD to around $1,870 is possible – UBS	neutral	0.8391357064247131
Friday, 09 June 2023 10:59:10	Gold Price Forecast: XAU/USD approaches $1,970 as USD Index’s pullback seems less confident, US CPI eyed	negative	0.6212425827980042
Friday, 09 June 2023 09:36:27	Gold Price Forecast: Further volatility is looming for XAU/USD in the next few days – Commerzbank	negative	0.6545271873474121
Friday, 09 June 2023 07:25:56	Gold Futures: Room for extra gains near term	neutral	0.8184892535209656
Friday, 09 June 2023 06:39:36	Gold Price Forecast: XAU/USD lacks firm intraday direction, flat-lines around $1.965 area	negative	0.6151096820831299
Friday, 09 June 2023 02:36:42	Gold Price Forecast: XAU/USD bulls need acceptance from $1,970, $1,990 and Fed – Confluence Detector	neutral	0.9047513008117676
Sunday, 11 June 2023 22:13:17	Gold Price Forecast: XAU/USD eases to $1,960 ahead of US inflation, Fed announcements	neutral	0.7222027778625488
Monday, 12 June 2023 22:46:57	Gold Price Forecast: XAU/USD stays defensive near $1,965 hurdle ahead of US inflation	neutral	0.560929536819458
Monday, 12 June 2023 20:16:47	Gold Price Forecast: XAU/USD traders await key US events	neutral	0.8836154937744141
Monday, 12 June 2023 15:47:36	Gold Price Forecast: XAU/USD to establish above $2,000 and even reach new record high next year – Commerzbank	neutral	0.7199781537055969
Monday, 12 June 2023 13:28:32	Gold Price Analysis: XAU/USD turns topsy-turvy above $1,960 amid mixed responses for Fed policy stance	negative	0.7445732951164246
Monday, 12 June 2023 09:51:54	Gold Price Forecast: XAU/USD approaches $1,970 amid a sell-off in USD Index, US CPI and Fed policy eyed	neutral	0.7554121017456055
Monday, 12 June 2023 07:34:06	Gold Price Forecast: XAU/USD flat-lines around $1,960, awaits key central bank event risks	neutral	0.4963456094264984
Monday, 12 June 2023 06:04:29	Gold Futures: Further losses not favoured	negative	0.72613126039505
Monday, 12 June 2023 04:34:26	Gold Price Forecast: XAU/USD stays below $1,970 hurdle as the Fed week begins – Confluence Detector	neutral	0.7328055500984192
Monday, 12 June 2023 01:48:21	Gold Price Forecast: XAU/USD trades with a mild negative bias, just above $1,955 lev	negative	0.6476517915725708
Tuesday, 13 June 2023 22:13:51	Gold Price Forecast: XAU/USD bears flex muscles even as US inflation advocates hawkish Fed halt	neutral	0.4610981345176697
Tuesday, 13 June 2023 15:57:44	Gold Price Forecast: XAU/USD could even trade lower if Fed leaves door open to further hikes – Commerzbank	neutral	0.643215000629425
Tuesday, 13 June 2023 13:56:22	Silver Price Analysis: XAG/USD to reach $26 by year-end – ANZ	neutral	0.8781741261482239
Tuesday, 13 June 2023 12:45:55	Gold Price Forecast: XAU/USD rises to test $1,970 after US CPI	neutral	0.8262583613395691
Tuesday, 13 June 2023 10:35:20	Gold Price Forecast: XAU/USD to break previous high of $2,060 on a rebound from current levels – ANZ	neutral	0.6340755820274353
Tuesday, 13 June 2023 10:17:42	Gold Price Forecast: XAU/USD fits above $1960 as USD looks fragile, US CPI hogs limelight	negative	0.6951228380203247
Tuesday, 13 June 2023 06:25:03	Gold Futures: A deeper pullback appears unlikely	negative	0.6975821256637573
Tuesday, 13 June 2023 06:23:53	Gold Price Forecast: XAU/USD holds steady around $1,960 as traders await US CPI	neutral	0.820321798324585
Tuesday, 13 June 2023 01:49:08	Gold Price Forecast: XAU/USD breakout could be on the cards around key US events	neutral	0.9356822967529297
Wednesday, 14 June 2023 21:54:53	Gold Price Forecast: XAU/USD bears are making their moves, eye break of $1,930s	neutral	0.83053058385849
Wednesday, 14 June 2023 18:14:16	Gold Price Forecast: XAU/USD tumbles toward $1,940 on Fed hawkish skip	neutral	0.579491376876831
Wednesday, 14 June 2023 15:42:31	Gold Price Forecast: A hawkish Fed is a short-term headwind for XAU/USD – ANZ	neutral	0.8295356631278992
Wednesday, 14 June 2023 15:32:37	Gold Price Forecast: XAU/USD surges on falling US T-bond yields, FOMC’s decision in focus	neutral	0.6107374429702759
Wednesday, 14 June 2023 11:46:30	Gold Price Forecast: XAU/USD finds resistance above $1,950 amid a temporary pause in USD Index’s sell-off	negative	0.6117173433303833
Wednesday, 14 June 2023 07:16:37	Gold Price Forecast: XAU/USD defends 100-day SMA ahead of the crucial FOMC decision	neutral	0.7252628803253174
Wednesday, 14 June 2023 05:47:54	Gold Futures: Door open to extra losses	neutral	0.5757566094398499
Wednesday, 14 June 2023 04:24:51	Gold Price Forecast: XAU/USD recovery roadblock at $1,960, Fed eyed – Confluence Detector	neutral	0.7856953144073486
Wednesday, 14 June 2023 01:47:23	Gold Price Forecast: XAU/USD bulls and bears go head to head in the build up to the Fed	neutral	0.935545802116394
Thursday, 15 June 2023 17:01:41	Gold Price Forecast: XAU/USD rebounds from a three-month low, bolstered by soft USD, falling bond yields	negative	0.5689542889595032
Thursday, 15 June 2023 15:49:39	Gold Price Forecast: XAU/USD could well rally on any data showing inflation pressures are easing – TDS	neutral	0.6056864261627197
Thursday, 15 June 2023 12:30:08	Gold Price Forecast: XAU/USD remains under pressure after ECB, ahead of US data	negative	0.5431007146835327
Thursday, 15 June 2023 08:48:49	Gold Price Forecast: XAU/USD retreats from above $1,930 as Fed Powell confirms more rate hikes	neutral	0.5442382097244263
Thursday, 15 June 2023 06:06:43	Gold Price Forecast: XAU/USD bears test $1,930 key support on hawkish Fed bets – Confluence Detector	neutral	0.8956267237663269
Thursday, 15 June 2023 05:42:37	Gold Futures: A deeper pullback seems out of favour	negative	0.8414973616600037
Thursday, 15 June 2023 03:58:09	Gold Price Forecast: XAU/USD refreshes monthly low, seems vulnerable below 100-day SMA	negative	0.8748669028282166
Thursday, 15 June 2023 00:35:41	Gold Price Forecast: XAU/USD flirts with $1,940 support after Fed moves, US Retail Sales eyed	neutral	0.7184000015258789
Monday, 19 June 2023 03:49:01	Gold Price Forecast: XAU/USD slides toward $1,950 as China woes join hawkish Fed clues	neutral	0.5094638466835022
Monday, 19 June 2023 01:25:05	Gold Price Forecast: XAU/USD struggles for a firm direction, stuck in a range below $1,960	negative	0.9268548488616943
Monday, 19 June 2023 15:46:08	Gold Price Forecast: XAU/USD to do quite well in the months ahead – TDS	positive	0.6195148825645447
Monday, 19 June 2023 15:38:52	Gold Price Forecast: XAU/USD steady while US Dollar strengthens amidst closed US markets	neutral	0.5793073773384094
Monday, 19 June 2023 10:14:14	Gold Price Forecast: XAU/USD declines towards $1,950 as USD Index recovers ahead of Blinken-Xi meet	negative	0.618133544921875
Monday, 19 June 2023 06:11:19	Gold Price Forecast: XAU/USD ticks lower on modest US Dollar strength, downside seems limited	negative	0.7099702954292297
Monday, 19 June 2023 05:58:23	Gold Futures: Further range bound on the cards	neutral	0.9373925924301147
Monday, 19 June 2023 03:49:01	Gold Price Forecast: XAU/USD slides toward $1,950 as China woes join hawkish Fed clues	neutral	0.5094638466835022
Monday, 19 June 2023 01:25:05	Gold Price Forecast: XAU/USD struggles for a firm direction, stuck in a range below $1,960	negative	0.9268548488616943
Wednesday, 21 June 2023 06:35:42	Gold Price Forecast: XAU/USD bears concentrate on $1,925 break and Fed Chair Powell – Confluence Detector	neutral	0.9176448583602905
Wednesday, 21 June 2023 05:18:55	Gold Futures: Further weakness likely near term	negative	0.7100587487220764
Wednesday, 21 June 2023 04:22:03	Gold Price Forecast: XAU/USD seems vulnerable below 100-day SMA, Fed’s Powell in focus	negative	0.8015432953834534
Wednesday, 21 June 2023 00:52:14	Gold Price Forecast: XAU/USD bears finally in town as Fed Chair Powell’s testimony looms	neutral	0.8017367720603943
Thursday, 22 June 2023 08:31:47	Gold Price Forecast: XAU/USD seesaws around $1,930 due to hawkish Fed Powell vs. dovish Bostic	neutral	0.687761664390564
Thursday, 22 June 2023 05:27:55	Gold Futures: A sustained pullback seems out of favour	negative	0.8249988555908203
Thursday, 22 June 2023 04:58:15	Gold Price Forecast: XAU/USD prods $1,930 support ahead of multiple central bank news – Confluence Detector	neutral	0.8940755724906921
Thursday, 22 June 2023 02:32:06	Gold Price Forecast: XAU/USD consolidates in a range, remains vulnerable below 100-day SMA	negative	0.7798093557357788
Monday, 03 July 2023 11:22:36	Gold seen above $2000/oz in H2 2023 – UOB	neutral	0.8680980205535889
Monday, 03 July 2023 10:12:12	Gold Price Forecast: XAU/USD unlikely to enjoy big gains for a while yet – TDS	neutral	0.44158926606178284
Monday, 03 July 2023 09:20:53	Gold Price Forecast: XAU/USD corrects to near $1,910 as US Manufacturing PMI comes into spotlight	neutral	0.8383192420005798
Monday, 03 July 2023 06:10:43	Gold Futures: Further gains on the cards	neutral	0.7309749126434326
Monday, 03 July 2023 05:50:31	Gold Price Forecast: XAU/USD portrays bearish consolidation below $1,930 hurdle – Confluence Detector	negative	0.4973292648792267
Monday, 03 July 2023 02:45:32	Gold Price Forecast: XAU/USD dips back closer to $1,915 on modest US Dollar uptick	negative	0.5065135359764099
Tuesday, 04 July 2023 06:17:19	Gold Futures: Extra gains in store near term	neutral	0.7598756551742554
Tuesday, 04 July 2023 05:28:23	Gold Price Forecast: XAU/USD bulls eye $1,930 on economic slowdown, US-China jitters amid US holiday	negative	0.832162082195282
Tuesday, 04 July 2023 02:14:13	Gold Price Forecast: XAU/USD lacks firm intraday direction, holds steady around $1,920	negative	0.6179260015487671
Wednesday, 05 July 2023 14:55:59	Gold Price Forecast: XAU/USD reverses sharply from weekly highs, looks vulnerable under $1,920	negative	0.9203806519508362
Wednesday, 05 July 2023 14:51:21	Gold Price Forecast: XAU/USD’s reaction may be asymmetrically skewed to the upside on misses in US data – TDS	negative	0.5819940567016602
Wednesday, 05 July 2023 11:39:35	Gold Price Forecast: XAU/USD aims to recapture $1,930 as investors see single interest rate hike from Fed	neutral	0.694170355796814
Wednesday, 05 July 2023 08:20:27	Gold Price Forecast: XAU/USD flat-lines below $1,930 level, FOMC minutes awaited	neutral	0.8425562381744385
Wednesday, 05 July 2023 05:36:01	Gold Price Forecast: XAU/USD loses momentum above $1,915 as Fed Minutes loom – Confluence Detector	negative	0.8179567456245422
Wednesday, 05 July 2023 02:52:48	Gold Price Forecast: XAU/USD remains below $1,930 as traders await FOMC minutes	neutral	0.6647388339042664
